Hobby,OpenSource,Country,Student,Employment,FormalEducation,UndergradMajor,CompanySize,DevType,YearsCoding,Salary,SalaryType,ConvertedSalary
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Data scientist or machine learning specialist;Full-stack developer,9-11 years,80000.0,Yearly,80000.0
No,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration","1,000 to 4,999 employees",Data scientist or machine learning specialist;Database administrator;Front-end developer,6-8 years,92000.0,,92000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",10 to 19 employees,Data scientist or machine learning specialist;Full-stack developer,3-5 years,75000.0,Yearly,75000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Data or business analyst;Data scientist or machine learning specialist,12-14 years,52000.0,Yearly,52000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Data scientist or machine learning specialist;Embedded applications or devices developer,12-14 years,145000.0,,145000.0
Yes,No,United States,"Yes, full-time",Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A natural science (ex. biology, chemistry, physics)",10 to 19 employees,Back-end developer;Data scientist or machine learning specialist;DevOps specialist;Engineering manager;Full-stack developer,3-5 years,120000.0,Yearly,120000.0
No,No,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)","10,000 or more employees",Back-end developer;Data scientist or machine learning specialist;Designer,30 or more years,137000.0,Yearly,137000.0
Yes,Yes,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)",Mathematics or statistics,20 to 99 employees,Data scientist or machine learning specialist;Front-end developer,24-26 years,200000.0,Yearly,200000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",,"10,000 or more employees",Back-end developer;Data scientist or machine learning specialist;Designer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer,12-14 years,140000.0,,140000.0
Yes,Yes,United States,No,Employed full-time,Some college/university study without earning a degree,"A business discipline (ex. accounting, finance, marketing)",100 to 499 employees,"Back-end developer;C-suite executive (CEO, CTO, etc.);Data or business analyst;Data scientist or machine learning specialist;Database administrator;Designer;Desktop or enterprise applications developer;DevOps specialist;Educator or academic researcher;Embedded applications or devices developer;Engineering manager;Front-end developer;Full-stack developer;Marketing or sales professional;Mobile developer;Product manager;QA or test developer;Student;System administrator",18-20 years,115000.0,Yearly,115000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Data or business analyst;Data scientist or machine learning specialist;Educator or academic researcher;Full-stack developer,24-26 years,105000.0,,105000.0
No,No,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","A natural science (ex. biology, chemistry, physics)",20 to 99 employees,Back-end developer;Data scientist or machine learning specialist;Desktop or enterprise applications developer;Engineering manager,30 or more years,180000.0,Yearly,180000.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Data scientist or machine learning specialist;Embedded applications or devices developer,6-8 years,130000.0,Weekly,2000000.0
Yes,Yes,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","A natural science (ex. biology, chemistry, physics)","1,000 to 4,999 employees",Data scientist or machine learning specialist,21-23 years,145000.0,,145000.0
Yes,No,United States,"Yes, part-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Mathematics or statistics,"1,000 to 4,999 employees",Data or business analyst;Data scientist or machine learning specialist;Student,3-5 years,72000.0,Yearly,72000.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Data or business analyst;Data scientist or machine learning specialist;Designer;DevOps specialist;Embedded applications or devices developer;QA or test developer,12-14 years,135000.0,Yearly,135000.0
No,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A social science (ex. anthropology, psychology, political science)","10,000 or more employees",Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Database administrator;Desktop or enterprise applications developer;Embedded applications or devices developer;QA or test developer,3-5 years,90000.0,Yearly,90000.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)","10,000 or more employees",Data scientist or machine learning specialist;Desktop or enterprise applications developer;Front-end developer,21-23 years,160000.0,Yearly,160000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Data scientist or machine learning specialist,6-8 years,78000.0,Yearly,78000.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Database administrator;Designer;DevOps specialist;Embedded applications or devices developer;Front-end developer;Full-stack developer;Product manager;QA or test developer;System administrator,6-8 years,120000.0,Yearly,120000.0
Yes,Yes,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","A natural science (ex. biology, chemistry, physics)","1,000 to 4,999 employees",Back-end developer;Data scientist or machine learning specialist;Database administrator;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;System administrator,24-26 years,152000.0,Yearly,152000.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Data or business analyst;Data scientist or machine learning specialist;DevOps specialist;Full-stack developer,18-20 years,152000.0,Yearly,152000.0
Yes,Yes,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","A natural science (ex. biology, chemistry, physics)",20 to 99 employees,Back-end developer;Data scientist or machine learning specialist,12-14 years,140000.0,Yearly,140000.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A humanities discipline (ex. literature, history, philosophy)","1,000 to 4,999 employees",Back-end developer;Data scientist or machine learning specialist,15-17 years,100000.0,Yearly,100000.0
Yes,Yes,United States,"Yes, part-time",Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Data scientist or machine learning specialist,6-8 years,130000.0,Yearly,130000.0
No,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer;Data scientist or machine learning specialist;Database administrator;Full-stack developer,18-20 years,100000.0,,100000.0
No,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Data scientist or machine learning specialist,15-17 years,115000.0,Yearly,115000.0
No,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Fewer than 10 employees,Back-end developer;Data scientist or machine learning specialist;Database administrator;Full-stack developer;QA or test developer,21-23 years,85000.0,Yearly,85000.0
Yes,Yes,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)","10,000 or more employees",Data or business analyst;Data scientist or machine learning specialist,6-8 years,137000.0,Yearly,137000.0
Yes,No,United States,No,Employed full-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Data scientist or machine learning specialist;Database administrator;Designer;DevOps specialist;Engineering manager;Front-end developer;Mobile developer;Product manager;System administrator,18-20 years,100000.0,Yearly,100000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Data scientist or machine learning specialist;Embedded applications or devices developer;Mobile developer,12-14 years,106000.0,Yearly,106000.0
Yes,Yes,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","A natural science (ex. biology, chemistry, physics)","1,000 to 4,999 employees",Back-end developer;Data scientist or machine learning specialist;Engineering manager,30 or more years,500000.0,Yearly,500000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",20 to 99 employees,Data or business analyst;Data scientist or machine learning specialist;Database administrator,6-8 years,80000.0,,80000.0
No,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A social science (ex. anthropology, psychology, political science)",Fewer than 10 employees,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Database administrator;Front-end developer;Full-stack developer,6-8 years,104000.0,Weekly,2000000.0
Yes,Yes,United States,"Yes, part-time",Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Data scientist or machine learning specialist,12-14 years,89000.0,Yearly,89000.0
Yes,No,United States,"Yes, part-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Data scientist or machine learning specialist;Full-stack developer,12-14 years,83000.0,Monthly,996000.0
Yes,Yes,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Data scientist or machine learning specialist,30 or more years,189000.0,,189000.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Data scientist or machine learning specialist,9-11 years,158000.0,Yearly,158000.0
No,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Data scientist or machine learning specialist;Embedded applications or devices developer,15-17 years,105000.0,,105000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A natural science (ex. biology, chemistry, physics)","1,000 to 4,999 employees",Data scientist or machine learning specialist,12-14 years,90000.0,Yearly,90000.0
Yes,Yes,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","A natural science (ex. biology, chemistry, physics)",100 to 499 employees,Data scientist or machine learning specialist;Engineering manager,12-14 years,13300.0,Monthly,159600.0
Yes,Yes,United States,"Yes, part-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Data or business analyst;Data scientist or machine learning specialist;Database administrator,12-14 years,135000.0,Monthly,1620000.0
Yes,Yes,United States,"Yes, part-time",Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Mathematics or statistics,500 to 999 employees,Data or business analyst;Data scientist or machine learning specialist,9-11 years,70000.0,,70000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Data scientist or machine learning specialist,12-14 years,155000.0,Yearly,155000.0
No,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer;Data scientist or machine learning specialist;DevOps specialist;Front-end developer;Full-stack developer,6-8 years,115000.0,,115000.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",20 to 99 employees,Data or business analyst;Data scientist or machine learning specialist;Database administrator;Designer;Front-end developer;Product manager;QA or test developer,12-14 years,57600.0,Yearly,57600.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Mathematics or statistics,500 to 999 employees,Data scientist or machine learning specialist,9-11 years,206000.0,,206000.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer;Data scientist or machine learning specialist;Database administrator;Designer;DevOps specialist;Full-stack developer;Mobile developer;Student;System administrator,18-20 years,130000.0,Yearly,130000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Data scientist or machine learning specialist;Embedded applications or devices developer;Mobile developer,21-23 years,182000.0,Yearly,182000.0
Yes,Yes,United States,"Yes, full-time",Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A natural science (ex. biology, chemistry, physics)",Fewer than 10 employees,Back-end developer;Data scientist or machine learning specialist;DevOps specialist;Educator or academic researcher;Student;System administrator,9-11 years,32000.0,Yearly,32000.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A humanities discipline (ex. literature, history, philosophy)",100 to 499 employees,Data scientist or machine learning specialist,18-20 years,116000.0,Yearly,116000.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A business discipline (ex. accounting, finance, marketing)",20 to 99 employees,"Back-end developer;C-suite executive (CEO, CTO, etc.);Data scientist or machine learning specialist;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;Product manager",18-20 years,245000.0,Yearly,245000.0
Yes,No,United States,No,Employed full-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",10 to 19 employees,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Database administrator,12-14 years,45000.0,Yearly,45000.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",500 to 999 employees,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Database administrator;Front-end developer,6-8 years,74000.0,Yearly,74000.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",20 to 99 employees,Data scientist or machine learning specialist;Engineering manager,3-5 years,100000.0,Yearly,100000.0
Yes,Yes,United States,No,Employed part-time,Primary/elementary school,,20 to 99 employees,Back-end developer;Data scientist or machine learning specialist;Database administrator;Educator or academic researcher;Student,6-8 years,3000.0,Yearly,3000.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer;Data scientist or machine learning specialist,21-23 years,220000.0,Yearly,220000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A natural science (ex. biology, chemistry, physics)","1,000 to 4,999 employees",Data scientist or machine learning specialist,3-5 years,100000.0,,100000.0
Yes,Yes,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","A humanities discipline (ex. literature, history, philosophy)",20 to 99 employees,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Database administrator;Educator or academic researcher;System administrator,6-8 years,82000.0,,82000.0
Yes,Yes,United States,No,Employed full-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Database administrator;Designer;Desktop or enterprise applications developer;DevOps specialist;Front-end developer;Full-stack developer;System administrator,18-20 years,40000.0,,40000.0
Yes,Yes,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","A social science (ex. anthropology, psychology, political science)",100 to 499 employees,Data scientist or machine learning specialist,9-11 years,150000.0,Yearly,150000.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Mathematics or statistics,500 to 999 employees,Back-end developer;Data scientist or machine learning specialist;DevOps specialist,6-8 years,147000.0,Yearly,147000.0
Yes,Yes,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","Computer science, computer engineering, or software engineering",10 to 19 employees,Back-end developer;Data scientist or machine learning specialist;Designer;DevOps specialist;Front-end developer;Full-stack developer,15-17 years,70000.0,,70000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)","10,000 or more employees",Back-end developer;Data scientist or machine learning specialist;Desktop or enterprise applications developer;Front-end developer;Full-stack developer,12-14 years,103000.0,Yearly,103000.0
Yes,Yes,United States,"Yes, full-time",Employed part-time,Some college/university study without earning a degree,"Another engineering discipline (ex. civil, electrical, mechanical)",Fewer than 10 employees,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Database administrator;Front-end developer;Full-stack developer;Student,6-8 years,90000.0,Yearly,90000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,"Back-end developer;C-suite executive (CEO, CTO, etc.);Data scientist or machine learning specialist;Database administrator;DevOps specialist;Full-stack developer;Mobile developer;Product manager;System administrator",21-23 years,600000.0,Yearly,600000.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Mathematics or statistics,"10,000 or more employees",Data or business analyst;Data scientist or machine learning specialist,6-8 years,80000.0,Yearly,80000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",10 to 19 employees,Data scientist or machine learning specialist,3-5 years,61000.0,Yearly,61000.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Data scientist or machine learning specialist;Full-stack developer,6-8 years,80000.0,Yearly,80000.0
No,No,United States,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",,"10,000 or more employees",Back-end developer;Data scientist or machine learning specialist;Desktop or enterprise applications developer;DevOps specialist;Full-stack developer,21-23 years,105000.0,Yearly,105000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Data scientist or machine learning specialist,3-5 years,80000.0,Yearly,80000.0
Yes,No,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)",Mathematics or statistics,"10,000 or more employees",Data scientist or machine learning specialist;Educator or academic researcher;Full-stack developer,18-20 years,95000.0,,95000.0
Yes,Yes,United States,"Yes, part-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Data scientist or machine learning specialist;Database administrator;DevOps specialist;Front-end developer;Full-stack developer;Mobile developer,6-8 years,93000.0,Yearly,93000.0
Yes,No,United States,No,Employed full-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Data scientist or machine learning specialist;Database administrator;Game or graphics developer,9-11 years,75000.0,Yearly,75000.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Fewer than 10 employees,Back-end developer;Data scientist or machine learning specialist;Database administrator;Front-end developer;Full-stack developer,9-11 years,50000.0,Yearly,50000.0
No,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",,20 to 99 employees,Data scientist or machine learning specialist;Embedded applications or devices developer;Full-stack developer,6-8 years,116000.0,Yearly,116000.0
Yes,Yes,United States,"Yes, part-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A natural science (ex. biology, chemistry, physics)",100 to 499 employees,Back-end developer;Data scientist or machine learning specialist;Database administrator;DevOps specialist;System administrator,0-2 years,55000.0,Yearly,55000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)","10,000 or more employees",Back-end developer;Data scientist or machine learning specialist;Database administrator;Engineering manager;Front-end developer;Full-stack developer,6-8 years,115000.0,Yearly,115000.0
